2093,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4,East Power,NYMEX
2094,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,3.996,East Power,NYMEX
2095,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.011,East Power,NYMEX
2096,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.008,East Power,NYMEX
2097,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.002,East Power,NYMEX
2098,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,3.998,East Power,NYMEX
2099,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4,East Power,NYMEX
2100,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.012,East Power,NYMEX
2101,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.019,East Power,NYMEX
2102,8/3/2021,P,PJM,On,8/1/2021,9/30/2021,11,47.5,East Power,ICE
2103,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.028,East Power,NYMEX
2104,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.047,East Power,NYMEX
2105,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.043,East Power,NYMEX
2106,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.038,East Power,NYMEX
2107,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.032,East Power,NYMEX
2108,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,(1),4.037,East Power,NYMEX
2109,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.033,East Power,NYMEX
2110,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.022,East Power,NYMEX
2111,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.012,East Power,NYMEX
2112,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,2,4.007,East Power,NYMEX
2113,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.5,East Power,ICE
2114,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.35,East Power,ICE
2115,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,1,45.25,East Power,ICE
2116,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.4,East Power,ICE
2117,8/3/2021,P,PJM,On,8/1/2021,8/31/2021,5,48,East Power,ICE
2118,8/3/2021,P,PJM,On,8/1/2021,8/31/2021,11,48.25,East Power,ICE
2119,8/3/2021,P,PJM,On,8/1/2021,8/31/2021,(1),48.25,East Power,ICE
2120,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.5,East Power,ICE
2121,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.45,East Power,ICE
2122,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.4,East Power,ICE
2123,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,5,45.35,East Power,ICE
2124,8/3/2021,P,PJM,On,8/1/2021,8/31/2021,2,48.05,East Power,ICE
2125,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,2,4.051,East Power,NYMEX
2126,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.051,East Power,NYMEX
2127,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.058,East Power,NYMEX
2128,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,3,4.055,East Power,NYMEX
2129,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,3,4.058,East Power,NYMEX
2130,8/3/2021,P,PJM,On,9/1/2021,9/30/2021,4,45.7,East Power,ICE
2131,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,1,4.072,East Power,NYMEX
2132,8/3/2021,NG,HH,N/A,9/1/2021,9/30/2021,2,4.071,East Power,NYMEX
2133,8/3/2021,NG,HH,N/A,7/1/2021,7/31/2021,55,41.83,East Power,NYMEX